policy_steps,policy_prompt_tokens,policy_output_tokens,final_context_tokens,wm_steps,wm_calls,run,task
20,64437,2285,6136,20,3,JEPA beam mp5,task_20251204_160336_295_5c0cd3a2_26d1b04a
8,13603,100,2491,8,1,JEPA beam mp5,task_20251204_231522_245_e6427839_5d09c3c2
4,5460,272,2268,4,1,JEPA beam mp5,task_20251205_032409_945_0a0bf089_61f5be29
15,47093,1666,5881,15,3,JEPA beam mp5,task_20251205_101915_742_d4a463c3_8eac8077
16,63133,1026,6659,16,3,JEPA beam mp5,task_20251205_192805_864_464ee3e0_91f2c02f
9,17304,227,2971,9,2,JEPA beam mp5,task_20251206_091748_833_a8eea1c0_7775ff15
3,4521,281,2001,3,1,JEPA beam mp5,task_20251206_114027_879_5c0cd3a2_904991cc
8,14227,210,2505,8,1,JEPA beam mp5,task_20251209_094942_478_701c5774_dc4a4b13
7,14993,404,3415,7,1,JEPA beam mp5,task_20251209_141356_232_4a23b9c9_9d41f343
11,38036,201,5261,11,2,JEPA beam mp5,task_20251210_150413_088_8db296d5_81f04ff0
6,10910,196,2843,6,1,JEPA beam mp5,task_20251210_205620_593_391f1eff_ad65c160
9,30449,843,5184,9,2,JEPA beam mp5,task_20251211_194841_657_8ce75c22_43c6bc2f
2,2549,106,1501,2,1,JEPA beam mp5,task_20251212_172511_458_e6427839_47076c15
5,6757,374,2460,5,1,JEPA beam mp5,task_20251215_113102_438_df2c536d_49cda522
8,20137,862,4062,8,1,JEPA beam mp5,task_20251216_131651_690_764e5ead_f8619b02
16,52880,965,5876,16,3,JEPA beam mp5,task_20251217_073807_153_761f6b82_cba63024
6,10297,187,2291,6,1,JEPA beam mp5,task_20251217_140216_182_701c5774_9fcdf867
10,24802,973,4282,10,2,JEPA beam mp5,task_20251217_183416_700_764e5ead_4c46beb0
13,41928,1010,5358,13,2,JEPA beam mp5,task_20251217_205244_161_764e5ead_20429ef8
10,29210,873,4763,10,2,JEPA beam mp5,task_20251217_231709_248_b25153b4_4c5f9bde
7,18566,956,4101,7,2,JEPA beam mp5,task_20251218_063226_501_97d7df7d_8fd400d1
5,10963,874,3349,5,1,JEPA beam mp5,task_20251218_082708_201_99ba2325_51726f9c
12,30990,674,4003,12,3,JEPA beam mp5,task_20251218_102205_211_1628b966_06687c79
6,10594,186,2556,6,1,JEPA beam mp5,task_20251218_103430_472_701c5774_42c99459
7,13970,215,2773,7,2,JEPA beam mp5,task_20251218_115158_065_1628b966_72217cb4
11,27693,339,4203,11,2,JEPA beam mp5,task_20251218_121722_423_1d219d93_8218da6c
5,8516,214,2613,5,1,JEPA beam mp5,task_20251218_124419_383_66392a82_52c8290e
9,20436,330,4035,9,2,JEPA beam mp5,task_20251218_143555_095_97d7df7d_ece487bd
9,20182,153,3492,9,2,JEPA beam mp5,task_20251219_114935_971_a8eea1c0_188fc892
9,22496,1726,4599,9,2,JEPA beam mp5,task_20251219_115208_288_701c5774_66a236f8
13,46824,878,5752,13,3,JEPA beam mp5,task_20251219_205632_335_cd46e60f_4db23138
7,20623,234,4873,7,1,JEPA beam mp5,task_20251222_130954_812_a9f62433_c0252ed2
4,10938,620,4689,4,1,JEPA beam mp5,task_20251222_131624_825_8ce75c22_535e7ced
11,27584,215,4073,11,2,JEPA beam mp5,task_20251223_061756_991_a8eea1c0_e497a345
8,16538,488,3362,8,2,JEPA beam mp5,task_20251223_194142_190_46ca2862_d9cae434
8,17032,215,3341,8,1,JEPA beam mp5,task_20251224_195437_497_e6427839_6357fed2
11,29779,713,4915,11,2,JEPA beam mp5,task_20251224_215807_175_8ce75c22_1c31b786
13,120389,2042,17000,13,2,JEPA beam mp5,task_20251225_062927_003_d9bcd1e5_d996901a
13,44290,727,6037,13,2,JEPA beam mp5,task_20251225_165311_201_4d9df647_7b3f1641
8,22843,626,4702,8,1,JEPA beam mp5,task_20251225_180047_141_a8eea1c0_002e725f
6,11996,235,3109,6,1,JEPA beam mp5,task_20251226_072511_447_4f1a62dd_cdc0e960
8,19997,675,4061,8,2,JEPA beam mp5,task_20260104_192853_372_6f5b66fc_12ceda34
8,24006,824,5434,8,2,JEPA beam mp5,task_20260104_205924_379_e0ac0c6d_cec96398
11,21596,172,3153,11,2,JEPA beam mp5,task_20260105_145825_060_701c5774_1054ca6e
4,5978,311,2133,4,1,JEPA beam mp5,task_20260105_153912_808_8ce75c22_f7553dba
5,7496,262,2476,5,1,JEPA beam mp5,task_20260105_175342_189_e5bf1251_60089921
9,24769,609,4468,9,2,JEPA beam mp5,task_20260106_003109_589_b5bd4eb9_d0454fa5
