benchmark,target,world_model,world_model_checkpoint,harness,rollout_mode,config_model_name,runs,tasks,expected_tasks_per_run,task_completeness,critic_fire_rate,avg_tool_calls,avg_failed_tool_calls,avg_unnecessary_tool_calls,avg_wm_steps,avg_wm_calls,avg_advice_injections,avg_terminal_advice_injections,avg_replans,avg_replans_with_plan,avg_beam_plan_steps,avg_imagined_plan_steps,avg_planning_llm_calls,avg_critic_checks,avg_critic_fires,avg_action_overrides,avg_refinement_rounds,avg_refinement_score_passes,avg_revisions,avg_reference_injections,avg_judge_calls,avg_wm_model_calls,source_files
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,itp_i,closed_loop,wm_agent1,1,100,100,1.0,,4.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,itp_i,closed_loop,wm_agent,1,100,100,1.0,,5.27,,,0.027,0.1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,reference,closed_loop,wm_agent1,1,100,100,1.0,,4.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,reference,closed_loop,wm_agent,1,100,100,1.0,,5.07,,,2.4773,2.6136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5909,0.0,2.4773,ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,revision,closed_loop,wm_agent1,1,100,100,1.0,,4.91,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-jepa-20260909T153841Z.json
WorkBench,longest_100_balanced,Enterprise-JEPA,data_jepa_heads_partial_imb_terminal_3,revision,closed_loop,wm_agent,1,100,100,1.0,,5.18,,,2.4318,2.4773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3409,0.0,0.0,2.25,ejepa-wm-harnesses-workbench-jepa-20260910T183732Z.json
WorkBench,longest_100_balanced,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_critic,closed_loop,wm_agent,1,100,100,1.0,0.4045,4.89,,,0.2979,1.8511,0.6383,0.5957,0.9149,0.7872,2.0638,2.9787,2.9787,1.8936,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-llm-wm-20260909T224406Z.json
WorkBench,longest_100_balanced,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,beam_interval,closed_loop,wm_agent,1,100,100,1.0,,4.97,,,0.0,0.0,0.7609,0.0,1.0,1.0,1.0,3.7391,3.7391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-llm-wm-20260909T224406Z.json
WorkBench,longest_100_balanced,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,itp_i,closed_loop,wm_agent,2,200,100,1.0,,2.52,,,2.8333,2.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-llm-wm-20260909T223306Z.json;ejepa-wm-harnesses-workbench-llm-wm-20260909T224406Z.json
WorkBench,longest_100_balanced,LLM-WM (state output),llm_wm_beam_action_terminal_crmarenapro,revision,closed_loop,wm_agent,1,100,100,1.0,,4.98,,,2.5833,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333,0.0,0.0,2.3958,ejepa-wm-harnesses-workbench-llm-wm-20260909T224406Z.json
WorkBench,longest_100_balanced,LLM-WM (tool output),world_model,beam_critic,closed_loop,wm_agent,1,100,100,1.0,0.8941,3.82,,,0.0375,1.025,0.6375,0.0125,1.0,0.95,1.1125,2.85,3.15,1.0625,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ejepa-wm-harnesses-workbench-agentworld-20260905T063814Z.json
